CMDLINE /data/home/jli819/install/anaconda3/envs/cv3.3/bin/python test_mem.py
MEM 0.539062 1544045310.0428
MEM 12.437500 1544045310.1432
MEM 21.101562 1544045310.2435
MEM 30.683594 1544045310.3438
