CMDLINE /data/home/jli819/install/anaconda3/envs/cv3.3/bin/python test_mem.py
MEM 0.796875 1544045326.9320
MEM 13.894531 1544045327.0325
MEM 24.199219 1544045327.1330
MEM 32.097656 1544045327.2334
