CMDLINE /data/home/jli819/install/anaconda3/envs/cv3.3/bin/python test_mem.py
MEM 0.542969 1544045422.5918
MEM 12.445312 1544045422.6922
MEM 21.718750 1544045422.7927
MEM 30.617188 1544045422.8931
MEM 32.328125 1544045422.9936
